Rk,School,Win-Loss Percentage,SRS,SOS,Team Points,Opponent Ponts,Minutes Played,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abl Christian,0.375,-5.82,-1.21,1756,1811,975,614,1433,0.428,126,383,0.329,402,558,0.72,236,811,304,190,47,315,493
2,Air Force,0.333,-3.73,-0.61,1630,1705,970,571,1248,0.458,216,579,0.373,272,403,0.675,188,708,363,165,96,299,413
3,Akron,0.75,5.49,-1.42,1804,1551,965,631,1378,0.458,205,602,0.341,337,457,0.737,254,883,324,150,68,270,389
4,Alabama,0.708,23.98,10.57,2167,1845,960,726,1512,0.48,278,727,0.382,437,550,0.795,300,948,381,183,101,295,459
5,Alab A&M,0.25,-16.23,-5.23,1656,1920,965,550,1332,0.413,103,357,0.289,453,635,0.713,276,848,237,183,88,402,520
6,Alabama St,0.458,-9.68,-3.97,1664,1669,968,593,1556,0.381,164,563,0.291,314,438,0.717,326,946,255,211,90,284,462
7,Albany,0.48,-7.02,-5.81,1954,1944,1000,707,1593,0.444,189,586,0.323,351,493,0.712,287,919,334,212,80,343,475
8,Alcorn St,0.292,-12.74,-2.31,1669,1901,960,601,1394,0.431,118,354,0.333,349,507,0.688,268,807,258,180,39,278,421
9,American,0.538,-7.56,-8.4,1825,1775,1050,651,1434,0.454,236,664,0.355,285,396,0.72,231,863,374,154,46,286,431
10,App State,0.808,5.85,-2.23,2038,1730,1065,764,1612,0.474,172,538,0.32,338,515,0.656,287,1088,393,172,188,285,344
11,Arizona,0.792,26.54,9.92,2162,1763,985,779,1595,0.488,187,508,0.368,417,573,0.728,334,1037,453,212,83,288,392
12,Arizona St,0.52,6.31,8.43,1750,1803,1000,629,1488,0.423,175,571,0.306,317,482,0.658,202,835,308,213,93,262,407
13,Arkansas,0.5,4.9,7.86,1811,1882,970,612,1376,0.445,144,447,0.322,443,617,0.718,214,844,271,142,152,291,461
14,Arkansas St,0.462,-0.07,-1.18,2072,2043,1045,716,1613,0.444,258,722,0.357,382,546,0.7,334,982,387,142,115,309,481
15,Ark-Pine Bl,0.417,-15.83,-5.13,1937,1989,960,637,1409,0.452,252,678,0.372,411,542,0.758,204,822,370,149,57,325,454
16,Army,0.346,-12.03,-8.07,1589,1641,1055,581,1425,0.408,208,645,0.322,219,371,0.59,258,904,328,153,106,328,422
17,Auburn,0.8,22.91,6.71,2077,1672,1000,718,1531,0.469,197,583,0.338,444,584,0.76,295,973,449,190,150,260,463
18,Austin Peay,0.519,-5.69,-3.73,1934,1882,1095,705,1619,0.435,221,611,0.362,303,456,0.664,295,917,302,206,81,241,469
19,Ball St,0.5,-5.65,-5.24,1794,1701,970,607,1329,0.457,185,491,0.377,395,520,0.76,228,836,300,133,70,291,369
20,Baylor,0.75,20.85,9.11,1982,1686,985,688,1401,0.491,212,526,0.403,394,542,0.727,283,851,374,164,81,287,396
21,Bellarmine,0.231,-11.46,-0.72,1777,1930,1045,657,1522,0.432,201,583,0.345,262,338,0.775,210,840,358,137,48,258,399
22,Belmont,0.577,0.87,2.11,2019,2016,1045,721,1511,0.477,228,617,0.37,349,482,0.724,185,862,391,200,77,327,408
23,Beth-Cook,0.5,-12.03,-8.03,1807,1787,965,631,1431,0.441,146,462,0.316,399,537,0.743,264,827,322,264,84,355,503
24,Binghamton,0.458,-10,-4.36,1715,1729,965,637,1406,0.453,122,425,0.287,319,472,0.676,261,937,339,117,93,289,398
25,Boise St,0.667,12.59,8.37,1783,1617,965,620,1379,0.45,185,544,0.34,358,495,0.723,268,877,294,137,55,276,389
26,Boston Col,0.583,8.64,5.43,1820,1743,965,670,1443,0.464,188,527,0.357,292,390,0.749,217,831,340,149,94,251,377
27,Boston U,0.385,-10.82,-7.26,1663,1711,1040,591,1465,0.403,195,612,0.319,286,420,0.681,246,916,330,179,67,305,439
28,Bowling Grn,0.667,-4.45,-5.54,1835,1742,980,647,1452,0.446,168,545,0.308,373,539,0.692,259,904,286,159,65,273,381
29,Bradley,0.692,9.65,2.53,1971,1771,1055,719,1499,0.48,235,632,0.372,298,419,0.711,254,909,362,195,105,323,428
30,BYU,0.75,22.24,6.49,2001,1623,960,724,1536,0.471,279,774,0.36,274,373,0.735,286,967,465,151,67,264,412
31,Brown,0.273,-6.6,-2.03,1539,1594,891,542,1293,0.419,164,517,0.317,291,450,0.647,266,821,274,141,98,266,377
32,Bryant,0.654,-2.28,-3.15,2068,1952,1050,755,1650,0.458,222,651,0.341,336,506,0.664,199,978,388,187,165,305,445
33,Bucknell,0.385,-9.17,-5.21,1717,1820,1055,600,1384,0.434,212,605,0.35,305,421,0.724,209,826,319,154,97,337,450
34,Buffalo,0.125,-15.36,-1.97,1619,1921,965,594,1430,0.415,162,604,0.268,269,386,0.697,265,843,305,143,108,349,369
35,Butler,0.64,14.25,8.71,2004,1845,1030,719,1567,0.459,205,569,0.36,361,457,0.79,256,919,376,162,84,265,344
36,Cal Poly,0.154,-13.13,-1.57,1623,1894,1055,574,1454,0.395,152,478,0.318,323,463,0.698,243,840,255,157,100,349,504
37,CS Bakersfld,0.4,-6.17,-1.86,1714,1732,1015,631,1472,0.429,109,369,0.295,343,483,0.71,304,867,257,177,90,295,502
38,CS Fullerton,0.44,-5.54,-0.32,1675,1715,1005,559,1323,0.423,151,471,0.321,406,569,0.714,218,812,220,178,72,324,448
